Id,Label,timeset,pageranks,modularity_class
60,@kimmilyn,,0.001397,195
61,@haptx,,0.000081,10
62,@geekwire,,0.000081,11
63,@BrianWestbrook,,0.000758,60
64,@geekwire,,0.000081,12
65,@StarlaSampaco,,0.000081,13
66,@geekwire,,0.000081,14
67,@SmokeFreeLife,,0.000081,15
68,@geekwire,,0.000081,16
69,@Adobe,,0.001909,87
70,@marciojmsilva,,0.000081,17
71,@MichaeldeRoock,,0.000081,18
72,@AdobeEdu,,0.00111,87
73,@AdobeXD,,0.000388,87
74,@AdobeCareers,,0.000081,19
75,@marciojmsilva,,0.000551,87
76,@ZoilaRamirez007,,0.000594,87
77,@WeRGenZ,,0.000412,87
78,@AdobeCareers,,0.000081,20
79,@CaritaMarr,,0.000081,21
80,@Anubhav53202317,,0.000727,36
81,@ChoiceMckinley,,0.000368,36
82,@Adunni_O,,0.000368,36
83,@hpatrinos,,0.000081,22
84,@coursera,,0.000081,23
85,@JosephLizyness,,0.000081,24
86,@Alex_Dix,,0.000081,25
87,@LondonU,,0.000214,36
88,@coursera,,0.000081,26
89,@BrightlineOrg,,0.00175,36
90,@coursera,,0.000081,27
91,@JosephLizyness,,0.000081,28
92,@Alex_Dix,,0.000081,29
93,@talentrics,,0.000689,36
94,@ShizTerrabyte,,0.00036,36
95,@coursera,,0.000081,30
96,@Alex_Dix,,0.000081,31
97,@syria_youth,,0.001248,36
98,@coursera,,0.000081,32
99,@mikestrattonNET,,0.000081,33
100,@Alex_Dix,,0.000758,36
101,@Kent_Walker,,0.002315,119
102,@coursera,,0.000081,34
103,@JoannaLAshby,,0.000081,35
104,@coursera,,0.002815,36
105,@achinth,,0.000081,37
106,@seatech4housing,,0.000081,38
107,@SeattleFdn,,0.000374,195
108,@LeslieFeinzaig,,0.000081,39
109,@2point19,,0.00038,195
110,@aliciainedmonds,,0.000376,195
111,@Q13FOX,,0.001279,40
112,@seattletimes,,0.001755,40
113,@IsteningL,,0.000428,40
114,@KarrenEricson,,0.000428,40
115,@ClimateGroup,,0.001158,69
116,@BofA_News,,0.003134,87
117,@Patrickchan828,,0.000416,87
118,@tipatat,,0.002428,71
119,@brandonlyfe_,,0.000367,71
120,@AndrewMitrak,,0.000081,41
121,@furan,,0.000367,71
122,@joemich,,0.000081,42
123,@haptx,,0.000081,43
124,@MissDestructo,,0.000367,71
125,@toddhooper,,0.000665,71
126,@RickKing16,,0.00037,71
127,@vrara_seattle,,0.000081,44
128,@AndrewMitrak,,0.000081,45
129,@haptx,,0.000081,46
130,@CharlieFink,,0.00184,71
131,@vrara_seattle,,0.000518,71
132,@virtualreels,,0.000376,71
133,@dan_talmon,,0.000081,47
134,@AndrewMitrak,,0.000665,71
